,tweet
47,"['visiting', 'friendster', 'facebook']"
48,"['donbt', 'like', 'peel', 'prawns', 'dont', 'like', 'going', 'shopping', 'running', 'money', 'crawling', 'round', 'car', 'look']"
49,"['case', 'i', 'got', 'new', 'week', 'i', 'am', 'thrilled', 'mine']"
50,"['then', 'check', 'connect', 'tweeple', 'hate', 'twitt']"
51,"['bored', 'school', 'freelesson', 'freistunde']"
52,"['hm', 'both', 'i', 'guess']"
53,"['u', 'dissappointed', 'past', 'day']"
54,"['romance', 'zero', 'funni']"
55,"['i', 'would', 'early', 'run', 'but', 'i', 'morning', 'runn']"
56,"['bah', 'coworker', 'ran', 'work', 'late', 'bag', 'smacked', 'knee', 'hurt']"
57,['later']
58,"['aw', 'torn', 'ace', 'heart']"
59,"['fun', 'speaking', 'of']"
60,"['lost', 'friends', 'i', 'm', 'sleepy', 'i', 'wanna', 'hom']"
61,"['haha', 'y']"
62,"['i', 'easili']"
63,"['what', 'better', 'way', 'spoil', 'mum', 'let', 'kick', 'relax', 'nice', 'meal', 'bottle', 'favorite', 'wine', 'our', 'wine', 'r']"
64,"['mannnn', '_', 'got', 'iphone', 'im', 'jealous']"
65,"['is', 'photoshoot']"
66,"['he', 's', 'awesome', 'have', 'worked', 'before', 'he', 's', 'good', 'friend']"
67,"['yay', 'playing', 'tonight', 'boo', 'it', 'is', 'gonna', 'soggy', 'i', 'am', 'work', 'right', 'play']"
68,['chilliin']
69,"['if', 'know', 'agent', 'let', 'know']"
70,"['i', 'smell', 'smok']"
71,"['celtics', 'lakers', 'rematch', 'sounds', 'better', 'do', 'not', 'think', 'lol']"
72,"['anyone', 'extra', 'keane', 'ticket', 'i', 'promise', 'buy', 'drink', 'rad', 'pics', 'fb', 'blog', 'flickr']"
73,"['you', 'ride', 'one', 'catch', 'one', 'summer', 'til', 'pop', 'open', 'one']"
74,"['good', 'gor', 'juz', 'yea', 'kno', 'asked', 'yesterday', 'tha', 'hospital', 'talked', 'u', 'said']"
75,"['ok', 'i', 'am', 'now', 'just', 'popped', 'hi', 'check', 'things', 'i', 'will', 'probably', 'head', 'guttah', 'later', 'tonight']"
76,"['wow', 'am', 'really', 'missin', 'the', 'fam', 'ily', 'today', 'baddd']"
77,"['my', 'sourc']"
78,"['i', 'sooo', 'tir']"
79,"['hey', 'change', 'twitter', 'account', 'did', 'not', 'tell', 'me']"
80,"['thank', 'yyyyyyyyyoooooooooouuuuu']"
81,"['lucky', 'kid', 'i', 'wanna', 'loserville', 'pity', 'im', 'oz']"
82,"['fell', 'asleep', 'waiting', 'ride']"
83,"['sick', 'with', 'flu', 'like', 'thing']"
84,"['still', 'reply', 'simfinger', 'problem', 'so', 'irape', 'parody', 'video', 'i', 'response', 'sorry', 'guy']"
85,"['happy', 'star', 'wars', 'day', 'everyone', 'enjoy', 'holiday', 'uk']"
86,"['miles', 'i', 'am', 'essex', 'plenty', 'warning', 'i', 'arrive', 'time', 'free', 'beers']"
87,"['his', 'snoring', 'annoying', 'n', 'keeps', 'sleeping', 'like', 'right', 'now', 'lol', 'i', 'honestly', 'wud', 'miss', 'eva', 'left', 'i', 'love', 'him']"
88,"['miss', 'bby', 'wish', 'going', 'tomorrow', 'good']"
89,"['well', 'im', 'working', 'is', 'not', 'quite', 'ready', 'post', 'publicly', 'still', 'beta', 'testing', 'cool', 'new', 'script', 'i', 'cod']"
90,"['sweeeeet', 'san', 'fran', 'awesome', 'lov']"
91,"['_mounce', 'yes', 'lasts', 'way', 'past', 'bedtime']"
92,"['hi', 'just', 'joined', 'twitter']"
93,"['waiting', 'sleeping', 'pills', 'kick', 'in', 'gonna', 'tired', 'work', 'tomorrow']"
94,"['eating', 'ice', 'cream', 'getting', 'ready', 'graduation']"
95,"['happy', 'mothers', 'day', 'mum']"
96,"['casey', 's', 'gone', 'but', 'why', 'so', 'piddled', 'little', 'carpet', 'she', 'is', 'prolly', 'freaked', 'cause', 'it', 'is', 'new', 'can', 'back']"
97,"['hemp', 'cloth', 'marvelous', 'unfortun']"
98,"['gonna', 'read', 'story', 'bout', 'adam', 'lambert', 'online', 'bed', 'nighty', 'night']"
99,"['we', 'saw', 'd', 'baddie', 's', 'best']"
100,"['am', 'and', 'im', 'beach', 'pretti']"
101,"['certainly', 'cheers', 'than', 'huh']"
102,"['week', 'post', 'my', 'horrible', 'traumatic', 'jumping', 'cholla', 'accident', 'cholla', 's', 'dirty', 'trickieces', 'starting', 'emerge', 'hand', 'ouch']"
103,"['realy', 'wanted', 'cause', 'nice', 'everybodys', 'busi']"
104,"['awesome', 'i', 'am', 'ocean', 'beach', 'if', 'know', 'is', 'by', 'way', 'yourbiggestfan', 'i', 'am', 're', 'al', 'big', 'fan', 'you', 'rs']"
105,"['i', 'watch', 'time', 'let', 's', 'pens']"
106,"['cool', 'wear', 'black', 'tim']"
107,"['haha', 'i', 'know', 'work', 'blip', 'apart', 'obvious', 'thanks', 'reblipping', 'song', 'nice', 'day']"
108,"['safe', 'trip', 'joshy', 'poo', 'you', 'you', 'will', 'knock', 'dead', 'speech']"
109,"['woof', 'i', 'wish', 'i', 'allow']"
110,"['u', 'friendster', 'add', 'me', 'email', 'adress', 'add', 'loco_crime', '_1st', 'com', 'add', 'leave', 'com']"
111,['tickets']
112,"['thank', 'you', 'afrin', 'nasal', 'spray', 'also', 'i', 'got', 'giant', 'teacup', 'tonight']"
113,"['acsm', 'it', 'is', 'unfathomable', 'think', 'kept', 'comfort', 'bedrooms', 'yes']"
114,"['aww', 'i', 'love', 'daddy', 'he', 'works', 'days', 'week', 'day', 'tries', 'sf']"
115,"['so', 'tests', 'todayyy', 'i', 'do', 'not', 'feel', 'confident', 'anyy']"
116,"['graduation', 'im', 'little', 'sad', 'want', 'hang', 'out']"
117,"['hahaa', 'awesomee']"
118,"['holy', 'smokes', 'star', 'trek', 'freaking', 'awesomeeee']"
119,"['i', 'hate', 'fallout', 'keeps', 'making', 'jump', 'i', 'am', 'low', 'health', 'money', 'ammo', 'food', 'do', 'not', 'worry', 'i', 'will', 'it']"
120,"['i', 'it', 'on', 'itunes', 'i', 'lost', 'songs']"
121,"['what', 's', 'gloomy', 'weather', 'the', 'sun', 'tired', 'come', 'play', 'heading', 'victoria', 'gardens', 'impulse', 'buys', 'haha']"
122,"['not', 'looking', 'forward', 'week', 'maths', 'geography', 'english', 'french', 'exams', 'totalling', 'hour']"
123,"['poor', 'get', 'outside', 'sleep', 'garden', 'sun', 'good', 'but', 'do', 'not', 'forget', 'suncream']"
124,[]
125,"['not', 'prob', 'hun']"
126,"['dads', 'watching', 'mtv', 'going', 'sims', '2', 'minute']"
127,['absolut']
128,"['what', 'is', 'matter', 'chickadee']"
129,"['hey', 'mia', 'totally', 'adore', 'music', 'cd', 'out']"
130,"['shopping', 'cleaning', 'bmfing', 'webcam', 'chatting', 'nephews', 'nothing', 'spesh', 'good', 'bank', 'holiday', 'monday', 'nonetheless']"
131,"['need', 'ask', 'something', 'lmao', 'i', 'lov']"
132,"['splinters', 'look', 'painful', 'but', 'heroic', 'saving', 'mr', 'pickl']"
133,['sad']
134,"['nice', 'tweeting', 'it', 's', 'sunday', 'th', 'may', 'we', 'are', 'celebrating', 'mother', 's', 'day', 'today', 'so', 'nice', 'yer', 'mom']"
135,"['decided', 'trans', 'frm', 'relaxed', 'natural', 'hair', 'wish', 'head', 'looked', 'like', 'roots', 'age', 'instant', 'gratification']"
136,"['namaskar', 'namaste', 'r', 'same', 'marathi', 'people', 'namaskar', 'marathi', 'word', 'naaaah']"
137,"['congrats', 'i', 'cuss', 'like', 'matter', 'minutes', 'but', 'did', 'not', 'know', 'reward', 'it']"
138,"['humous', 'dorito', 's', 'oh', 'y']"
139,"['missed', 'awesome', 'weather', 'movie']"
140,"['today', 'going', 'normal', 'day', 'i', 'hope', 'we', 'group', 'pilots', 'large', 'airline', 'come', 'night', 'drink']"
141,"['these', 'kids', 'terrible', 'if', 'i', 'good', 'evans', 'i', 'would', 'childlin']"
142,"['unfortunatley', 'aerlingus', 'longer', 'fly', 'copenhagen', 'we', 'are', 'fly', 'ryanair', 'billund', 'drive', 'copenhagen', 'days']"
143,"['what', 's', 'sad', 'i', 'actually', 'google', 'term', 'that', 'sucks', 'tho']"
144,"['hate', 'fight']"
145,"['i', 'watched', 'too', 'i', 'didnt', 'want', 'win', 'good', 'fight', 'lol']"
146,"['car', 'warmed', 'sprite', 'tastes', 'like', 'sore', 'throat']"
147,"['just', 'came', 'th', 'cross', 'country', 'beat', 'dumbo']"
148,"['candle', 'wax', 'enjoyable']"
149,"['she', 'is', 'unassuming', 'unpretentious', 'she', 'is', 'just', 'as', 'i', 'suppose', 'that', 's', 'she', 'is', 'endearing', 'because', 'rel']"
150,"['tomorrow', 'valeria', 's', 'lunch', 'going', 'hair', 'im', 'arraving', 'late', 'got', 'cousins', 'babtizm', 'spel']"
151,"['goooooddd', 'morning', 'tweets', 'week', 'of', 'workout', 'mention', 'got', 'new', 'glasses', 'yesterday']"
152,"['too', 'i', 'hate', 'much']"
153,"['fine', 'going', 'big', 'walk', 'today', 'mil']"
154,"['i', 'want', 'red', 'cruisers', 'do', 'not', 'like', 'ones', 'lmfao']"
155,"['mmmmmmmm', 'morn']"
156,[]
157,"['has', 'hours', 'work', 'do', 'sunday', 'boo', 'i', 'time', 'hour', 'lunchbreak', 'though', 'yeah']"
158,"['bugger', 'forgot', 'i', 'washing', 'machin']"
159,"['_laurie', 'sending', 'love', 'blessings', 'healing', 'thoughts', 'family', 'peac']"
160,"['my', 'hurts', 'really', 'bad']"
161,"['ah', 'yes', 'i', 'know', 'feel']"
162,"['night', 'cookers', 'dad']"
163,"['my', 'modem', 'offline', 'week', 'now', 'god', 'bless', 'g', 'network', 'tim', 'left', 'again', 'may', 'schedule', 'brut']"
164,"['nope', 'i', 'coquitlam']"
165,"['had', 'parent', 'teacher', 'thing', 'yesterday', 'so', 'boring', 'going', 'skl', 'saturday', 'lol']"
166,"['sounds', 'like', 'fun', 'hope', 'there']"
167,"['big', 'booming', 'thunder', 'storm', 'here', 'maybe', 'home', 'early', 'ah', 'probably', 'not']"
168,"['few', 'bevvies', 'day', 'twn', 'great', 'day', 'off']"
169,"['night', 'myers', 'w', 'out', 'lydia', 'i', 'm', 'actually', 'excited', 'summer']"
170,"['good', 'morn']"
171,"['best', 'ever']"
172,"['url', 'previous', 'post', 'to', 'timer', 'job', 'i', 'would', 'removed', 'space', 'messed', 'url']"
173,"['think', 'iv', 'hurt', 'tooth', 'eilish', 'cassie', 'having', 'drawing', 'competiton', 'draw', 'cookies', 'pineapples', 'haha', 'l']"
174,"['i', 'want', 'know', 'auditions', 'mander', 'text', 'or', 'reply', 'please']"
175,"['nooooo', 'not', 'the', 'secret', 'namerebecca', 'pleas']"
176,"['i', 'miss', 'neice', 'cannot', 'wait', 'bad', 'n', 'grown', 'lol']"
177,"['need', 'fix']"
178,"['hopes', 'car', 's', 'illness', 'terminal']"
179,"['all', 'cool', 'people', 'i', 'want', 'following', 'today', 'i', 'guess', 'english', 'do', 'not', 'tweet']"
180,"['sir', 'i', 'woulda', 'honey', 'but', 'do', 'not']"
181,"['watched', 'x', 'men', 'origins', 'wolverine', 'totally', 'loved', 'it', 'haha']"
182,"['i', 'voted', 'u', 'personal', 'myspace', 'talking', 'fakes', '3', 'you', 'u', 'helped', 'hrdest', 'time', 'life', 'x']"
183,"['i', 'am', 'sad', 'i', 'missed', 'guys', 'night']"
184,"['finally', 'got', 'marriage', 'counseling', 'days', 'late']"
185,['ok']
186,"['_420', 'baby']"
187,"['today', 'day', 'high', 'school', 'ended', 'going', 'home', 'sick', 'stupid', 'dead', 'rat']"
188,"['we', 're', 'having', 'impromptu', 'pool', 'party', 'except', 'i', 'do', 'not', 'know', 'swim', 'i', 'cannot']"
189,"['lost', 'tooth', 'day', 'whilst', 'eating', 'gum', 'oww']"
190,"['happy', 'year', '3']"
191,"['oh', 'i', 'hella', 'forgot', 'official', 'good', 'morning', 'like', 'hear', 'it', 'here', 'go', 'goooooooooooood', 'morrrrrrrrning', 'twitterville', 'lol']"
192,"['phew', 'will', 'note', 'case', 'runs', 'issu']"
193,"['what', 'about', 'me', 'i', 'vote', 'every', 'day', 'for', 'you']"
194,"['i', 'am', 'starving', 'this', 'diet', 'killing', 'i', 'cannot', 'eat', 'pm']"
195,['talk']
196,"['im', 'soo', 'bored', 'im', 'deffo', 'missing', 'music', 'channel']"
197,"['nite', 'nite', 'bday', 'girl', 'fun', 'concert']"
198,"['had', 'nicotine', 'replacement', 'patch', 'hours', 'so', 'far', 'good', 'i', 'sleep', 'hours', 'getting', 'bit', 'twitchi']"
199,"['_sanderson', 'what', 's', 'twatter', 'lately', 'either', 'i', 'cannot', 'replies', 'do', 'not', 'turn', 'up']"
200,"['sleeping', 'lost', 'voice', 'couple', 'day', 'ago']"
201,"['hate', 'parked', 'car', 'gets', 'hit']"
202,"['i', 'have', 'heard', 'fall', 'i', 'am', 'waiting', 'too']"
203,"['nightmares', 'huggles']"
204,"['i', 'am', 'such', 'a', 'creeper', 'i', 'feel', 'disappointed', 'it', 'cyberstalking', 'skills', 'internet', 'privacy']"
205,"['going', 'bed', 'late', 'i', 'headach']"
206,"['happy', 'mother', 's', 'day', 'moms', 'there']"
207,"['grabbing', 'coffee', 'making', 'mom', 'breakfast']"
208,"['im', 'thinking', 'im', 'going', 'fun', 'tonight', 'and', 'maybe', 'changes', 'com']"
209,"['thanks', 'major', 'chop']"
210,"['haha', 'i', 'know', 'i', 'handle', 'fame', 'thank', 'you']"
211,"['got', 'updated', 'ipod']"
212,"['yes', 'sober', 'hahaha', 'tanghaling', 'tapat', 'dude', 'haha', 'wild', 'do', 'not', 'knowwww', 'plan', 'plan', 'us']"
213,"['we', 'miss', 'icarly', 'son', 'huge', 'crush', 'miranda']"
214,"['saw', 'james', 'carville', 'store', 'today', 'his', 'head', 'bald']"
215,['yellow']
216,"['means', 'you', 'are', 'going', 'come', 'vancouver', 'way', 'hahah']"
217,"['feeling', 'smooth', 'like', 'chrom']"
218,"['ew', 'traff']"
219,"['downloading', 'songs', 'trying', 'sneak', 'lil', 'homework', 'too', 'main', 'priority', 'songs', 'lol']"
220,"['alone', 'i', 'need', 'coffee', 'too']"
221,"['sounds', 'lik']"
222,"['bad', 'day', 'the', 'day', 'realize', 'mess', 'you', 'have', 'happiest', 'days', 'life']"
223,"['walking', 'class', 'i', 'hate', 'having', 'bike', 'especially', 'mine']"
224,['_nesmith']
225,"['failed', 'inspection', 'did', 'know', 'pass', 'wo', 'oven', 'wo', 'anti', 'tip', 'bracket', 'sold', 'w', 'oven', 'this', 'worse', 'taxes']"
226,"['jonas', 'brothers', 'live', 'party', 'it', 's', 'rocking', 'hard', 'i', 'love', 'song']"
227,"['happy', 'mother', 's', 'day', 'mothers', 'world']"
228,"['mins', 'hr', 'mins', 'google', 'wave', 'demo', 'looks', 'lot', 'fun', 'love', 'test', 'though']"
229,"['sleepy', 'tabz', 'heading', 'bed', 'fun', 'night', 'listened', 'episode', 'joss', 'd']"
230,"['the', 'exception', 'short', 'dude', 'larenz', 'fineass', 'tate', 'yum']"
231,"['screw', 'reviews', 'i', 'thought', 'wolverine', 'awesome', 'but', 'dominic', 'monaghan', 'liking']"
232,"['if', 'followed', 'recently', 'please', 'dont', 'offended', 'have', 'not', 'followed', 'back', 'we', 'hit', 'limit', 'hopefully', 'free', 'soon']"
233,"['yes', 'work']"
234,"['hmmm', 'maybe', 'that', 's', 'meant', 'they', 'eluded', 'brand', 'new', 'know', 'media']"
235,"['done', 'spa', 'meeting', 'vic', 'late', 'lunch']"
236,"['happy', 'monday', 'going', 'tavares', 'today', 'hope', 'blessed', 'day']"
237,"['always', 'wanted', 'oz']"
238,['thx']
239,"['cool', 'luv']"
240,"['that', 's', 'i', 'need', 'there', 'to', 'represent', 'blackberri']"
241,"['okay', 'i', 'am', 'dedicating', 'th', 'tweet', 'fact', 'i', 'am', 'going', 'apple', 'store', 'huge', 'crack', 'glass', 'screen']"
242,"['if', 'actually', 'allowed', 'stay']"
243,"['let', 'know', 'turns', 'out']"
244,"['sass', 'i', 'detect', 'as', 'long', 'is', 'not', 'sass', 'haha']"
245,"['yeah', 'i', 'thinking', 'ahaha']"
246,"['sports', 'bar', 'shatranjanpoli', 'rest', 'ph', 'all', 'sports', 'bar', 'andheri', 'w', 'dont', 'know', 'helps', 'google', 'ki', 'jai', 'ho']"
247,"['i', 'am', 'sleeping', 'accepts', 'appolog']"
248,"['wolverine', 'was', 'boss', 'seriously', 'and', 'will', 'i', 'am', 'was', 'in', 'it', 'what', 'the']"
249,"['i', 'live', 'pain', 'br']"
250,"['okay', 'i', 'm', 'later']"
251,"['what', 'powerblog', 'challenge', 'talking', 'about', 'i', 'am', 'newbie', 'follow']"
252,"['died', 'laptop', 'screen', 'set', 'brightness', 'i', 'reinstalled', 'windows', 'vista', 'got', 'headach']"
253,"['waiting', 'tish', 'off', 'got', 'drive', 'moms', 'crv', 'pick', 'duckie', 'first', 'tim']"
254,"['trying', 'decide', 'movie', 'friends', 'going', 'well', 'lol', 'no', 'bible', 'study', 'nite', 'means', 'day', 'cake', 'buy', 'own']"
255,"['going', 'shower', 'do', 'not', 'want', 'smell', 'school', 'tomorrow']"
256,"['sigh', 'know', 'i', 'am']"
257,"['discovered', 'cause', 'bug', 'new', 'build', 'publishing', 'bug', 'fix', 'now', 'hopefully', 'new', 'beta', 'tomorrow']"
258,"['here', 'free', 'twitter', 'tools', 'follow']"
259,"['got', 'home', 'work', 'chugging', 'big', 'bottle', 'apple', 'juice']"
260,"['yes', 'does', 'please', 'dont', 'go', 'if', 'die', 'i', 'cry', 'normally', 'leads', 'small', 'animals', 'getting', 'harm']"
261,"['writing', 'report', 'cards', 'soooo', 'tired', 'amazing', 'day', 'check', 'fb', 'soon']"
262,"['big', 'brother', 'and', 'i', 'am']"
263,"['good', 'news', 'finally', 'finished', 'workout', 'paused', 'hours', 'bad', 'news', 'resistance', 'band', 'torn']"
264,"['well', 'good', 'morning', 'all', 'what', 'wonderful', 'day', 'neighborhood', 'thanks', 'following', 'morn']"
265,"['ftsk', 'mercy', 'mercedes', 'amazing', 'tonight']"
266,"['hope', 'ok']"
267,"['cannot', 'school', 'already', 'hurts', 'much', 'seeing', 'day']"
268,"['i', 'waited', 'listening', 'wind', 'blowing', 'tumbleweed', 'are', 'old', 'know', 'says', 'crackerack']"
269,"['hell', 'yeah']"
270,"['him', 'shirt', 'dinner', 'do', 'need', 'ask', 'does', 'actually', 'ville', 'it']"
271,['know']
272,"['huh', 'smelly', 'noooo', 'i', 'love', 'alex', 'vixon']"
273,"['went', 'party', 'night', 'dindin', 'i', 'showed', 'matching', 'outfits', 'great', 'minds', 'think', 'alike', 'anyway', 'happy', 'birthday', 'ate', 'lara']"
274,"['happy', 'b', 'day', 'just', 'woke', 'earth', 'wishes', 'bit', 'l']"
275,"['thank', 'teaching', 'values', 'better', 'person', 'day', 'i', 'love', 'so', 'much', 'you', 're', 'the', 'best', 'mum', 'in', 'the', 'world']"
276,"['happy', 'mothers', 'day']"
277,"['laughs', 'i', 'am', 'glad', 'self', 'confidence', 'it', 'is', 'wonderful', 'trait', 'i', 'will', 'applaud', 'extra', 'loud', 'it', 'okay']"
278,['thank']
279,"['twittering', 'days']"
280,"['getting', 'ready', 'week', 'its', 'nice', 'today', 'stuck', 'inside', 'working']"
281,"['i', 'tres', 'depress']"
282,"['felt', 'like', 'behaved', 'like', 'son', 'ate', 'compensate', 'pigged', 'home', 'roasted', 'sugar', 'almonds', 'painful', 'tum', 'threw', 'up', 'feel', 'sick']"
283,"['happy', 'mothers', 'day', 'people', 'love', 'mom', 'lot']"
284,"['i', 'am', 'sorry', 'hear', 'that']"
285,"['that', 's', 'awesome', 'dude', 'yay', 'surprise', 'celebrities', 'i', 'got', 'meet', 'years', 'ago', 'soooo', 'friendly']"
286,"['makes', 'happy', 'hear', 'girl', 'talk', 'tweet', 'nba', 'but', 'nuggets', 'love']"
287,"['is', 'getting', 'hang', 'twitter']"
288,"['you', 'know', 'neck', 'jacked', 'forced', 'pay', 'parking', 'bc', 'cannot', 'turn', 'head', 'parallel', 'park', 'free', 'spaces']"
289,"['i', 'want', 'back', 'now']"
290,"['going', 'miss', 'roomie', 'we', 'longer', 'roomies', 'starting', 'tomorrow']"
291,"['bathing', 'little', 'angels', 'keyla', 'janice']"
292,"['yep', 'finished', 'chocked', 'spelling', 'grammatical', 'errors', 'i', 'am', 'cleaning', 'tomorrow', 'popping', 'heh']"
293,"['hahahha', 'lol', 'true', 'that', 'remember', 'bd', 'remember', 'date', 'day']"
294,"['family', 'here', 'hang']"
295,"['watching', 'ellen', 'love', 'her', 'dishes', 'tanning', 'it', 'is', 'gorgeous', 'out']"
296,"['what', 'is', 'goin', 'hun', 'i', 'am', 'worri']"
297,"['im', 'bannished', 'i', 'work', 'til']"
298,"['morning', 'if', 'i', 'it', 'i', 'will', 'let', 'know', 'right', 'now', 'i', 'am', 'going', 'wolverine']"
299,"['red', 'tabloids', 'build', 'em', 'up', 'knock', 'em']"
300,"['tonight', 'party', 'w', 'girls', 'minus', 'vita']"
301,"['sad', 'i', 'thought', 'you', 'had', 'jumping', 'joy']"
302,['simpl']
303,"['the', 'pics', 'i', 'uploaded', 'baby', 'pics', 'cats', 'missy', 'adult', 'pretty', 'little', 'kitty', 'batty', 'kitten', 'heaven']"
304,"['i', 'saw', 'play', 'here', 'amaz']"
305,"['_', 'glad', 'break', 'twitter', 'virginity', 'two']"
306,"['dinner', 'fam', 'i', 'miss']"
307,"['_live', 'that', 's', 'i', 'want', 'more', 'better', 'bound', 'bad', 'eggs', 'though', 'soon', 'learn']"
308,"['hell', 'yeah', 'kellynn', 'got', 'twitter', 'finally']"
309,"['i', 'know', 'it', 'worth', 'shot', 'though']"
310,"['just', 'opened', 'facebook', 'account', 'i', 'am', 'little', 'confused', 'i', 'do', 'not', 'it', 'twitter', 'bett']"
311,"['ship', 'i', 'am', 'stuck']"
312,"['dustbin', 'baby', 'on', 'at', 'cannot', 'wait', 'x']"
313,"['not', 'going', 'dwell', 'it', 'it', 'happened', 'it', 'is', 'passed', 'just', 'shame', 'supportive', 'such', 'life', 'x']"
314,"['it', 'looks', 'like', 'office', 'tv', 'does', 'mlb', 'network', 'looks', 'like', 'mlbn', 'not', 'televising', 'det', 'bal', 'game', 'today']"
315,"['home', 'handed', 'no', 'comics', 'today', 'i', 'shall', 'indulge', 'cupcakes', 'magnolia', 'bakery']"
316,"['laying', 'bed', 'til', 'workkk', 'oh', 'life', 'definitely', 'pinched', 'nerve']"
317,"['today', 'busy', 'day', 'exhausting']"
318,"['i', 'going', 'sunday', 'i', 'have', 'got', 'going', 'weekend']"
319,"['sorry', 'hear', 'ur', 'flight', 'got', 'cancelled', 'blows']"
320,"['ohh', 'tooth', 'hurts', 'ohh', 'im', 'sad', 'hurt']"
321,"['before', 'i', 'distracted', 'i', 'would', 'like', 'thank', 'new', 'followers', 'taking', 'trouble', 'follow', 'me', 'and', 'others', 'feelin', 'lov']"
322,"['u', 'think', 'u', 'bills', 'ha', 'ii', 'finished', 'paying', 'that', 's', 'y', 'i', 'am', 'brok']"
323,"['not', 'sure', 'did', 'not', 'big', 'i', 'jst', 'saw', 'pics', 'u', 'ur', 'bday', 'you', 'looked', 'pretty', 'i', 'miss', 'you']"
324,"['sore', 'throat', 'planning', 'tet', 'outing', 'marwell', 'though', 'good', 'tim']"
325,"['mcfly', 'gig', 'nightt', 'omg', 'amazin', 'didnt', 'sit', 'thing', 'mcfly', 'ma', 'best', 'mate', 'tutu']"
